[]
[4, 2412]
         1439833 function calls (1436449 primitive calls) in 5.503 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 mapdata.py:1(<module>)
        1    0.000    0.000    1.164    1.164 mblockio.py:1(<module>)
        1    0.000    0.000    1.079    1.079 mblockio.py:35(f_memcpy)
        1    0.000    0.000    0.072    0.072 mblockio.py:9(f_repmovsd_epd)
        1    0.000    0.000    0.000    0.000 mpqapi.py:177(MpqWrite)
        1    0.000    0.000    0.002    0.002 mpqapi.py:26(InitMpqLibrary)
        1    0.000    0.000    0.002    0.002 mpqapi.py:3(<module>)
        1    0.000    0.000    0.000    0.000 mpqapi.py:77(MpqRead)
        1    0.000    0.000    2.655    2.655 muldiv.py:1(<module>)
        1    0.000    0.000    0.086    0.086 muldiv.py:105(<listcomp>)
        1    0.000    0.000    0.087    0.087 muldiv.py:106(<listcomp>)
        1    0.001    0.001    1.488    1.488 muldiv.py:136(_f_div)
        1    0.000    0.000    0.086    0.086 muldiv.py:147(<listcomp>)
        1    0.000    0.000    0.087    0.087 muldiv.py:148(<listcomp>)
        1    0.000    0.000    0.086    0.086 muldiv.py:149(<listcomp>)
        6    0.000    0.000    0.276    0.046 muldiv.py:20(f_div)
        6    0.000    0.000    0.118    0.020 muldiv.py:62(f_constdiv)
        1    0.000    0.000    0.111    0.111 muldiv.py:71(divf)
        1    0.001    0.001    1.148    1.148 muldiv.py:95(_f_mul)
        1    0.000    0.000    0.000    0.000 ntpath.py:104(join)
        3    0.000    0.000    0.000    0.000 ntpath.py:139(splitdrive)
        1    0.000    0.000    0.000    0.000 ntpath.py:210(split)
        1    0.000    0.000    0.000    0.000 ntpath.py:251(dirname)
        3    0.000    0.000    0.000    0.000 ntpath.py:35(_get_empty)
        4    0.000    0.000    0.000    0.000 ntpath.py:41(_get_sep)
        3    0.000    0.000    0.000    0.000 ntpath.py:47(_get_altsep)
        2    0.000    0.000    0.000    0.000 ntpath.py:53(_get_bothseps)
        4    0.000    0.000    0.000    0.000 ntpath.py:65(_get_colon)
      101    0.000    0.000    0.000    0.000 opcode.py:41(def_op)
       11    0.000    0.000    0.000    0.000 opcode.py:45(name_op)
        6    0.000    0.000    0.000    0.000 opcode.py:49(jrel_op)
        1    0.000    0.000    0.000    0.000 opcode.py:5(<module>)
        6    0.000    0.000    0.000    0.000 opcode.py:53(jabs_op)
        1    0.000    0.000    0.006    0.006 payload.py:1(<module>)
        3    0.000    0.000    0.000    0.000 payload.py:27(RegisterObject)
        2    0.000    0.000    0.000    0.000 payload.py:38(GetObjectAddr)
        1    0.000    0.000    0.001    0.001 payload.py:9(CreatePayload)
        1    0.000    0.000    0.005    0.005 pbuffer.py:1(<module>)
        4    0.000    0.000    0.000    0.000 pbuffer.py:117(packer)
        4    0.000    0.000    0.000    0.000 pbuffer.py:120(<listcomp>)
        4    0.000    0.000    0.000    0.000 pbuffer.py:121(<listcomp>)
        1    0.000    0.000    0.000    0.000 pbuffer.py:17(PayloadBuffer)
        1    0.000    0.000    0.000    0.000 pbuffer.py:23(__init__)
        3    0.000    0.000    0.000    0.000 pbuffer.py:33(StartWrite)
        3    0.000    0.000    0.000    0.000 pbuffer.py:36(EndWrite)
        9    0.000    0.000    0.000    0.000 pbuffer.py:58(WriteDword)
        1    0.000    0.000    0.000    0.000 pbuffer.py:6(Payload)
        4    0.000    0.000    0.000    0.000 pbuffer.py:68(WritePack)
        1    0.000    0.000    0.000    0.000 pbuffer.py:8(__init__)
       12    0.000    0.000    0.000    0.000 pbuffer.py:84(WriteBytes)
        1    0.000    0.000    0.000    0.000 pbuffer.py:95(CreatePayload)
        2    0.000    0.000    0.000    0.000 pbuffer.py:99(_CreateStructPacker)
        1    0.000    0.000    0.008    0.008 proptable.py:3(<module>)
        2    0.000    0.000    0.001    0.001 re.py:217(compile)
        2    0.000    0.000    0.001    0.001 re.py:273(_compile)
        1    0.000    0.000    0.000    0.000 rlocint.py:1(<module>)
        1    0.000    0.000    0.000    0.000 rlocint.py:1(RlocInt)
       51    0.000    0.000    0.000    0.000 rlocint.py:3(__init__)
        1    0.000    0.000    5.409    5.409 savemap.py:1(<module>)
        1    0.000    0.000    0.010    0.010 scaddr.py:1(<module>)
    53/51    0.000    0.000    0.000    0.000 scaddr.py:100(Evaluate)
     2433    0.007    0.000    0.009    0.000 scaddr.py:16(__add__)
     2550    0.006    0.000    0.011    0.000 scaddr.py:24(__sub__)
        1    0.000    0.000    0.000    0.000 scaddr.py:5(SCMemAddr)
     2550    0.008    0.000    0.010    0.000 scaddr.py:56(__floordiv__)
